iter	Logloss
0	0.1966787066
1	0.08397268023
2	0.04953307016
3	0.04080966132
4	0.02637053353
5	0.02267647607
6	0.0181117412
7	0.01488125665
8	0.01127741337
9	0.0101723344
10	0.008875718798
11	0.007937151364
12	0.006941864831
13	0.005777112416
14	0.005131157466
15	0.004562475341
16	0.004057256835
17	0.003712757315
18	0.003271039554
19	0.003133700916
20	0.002972207069
21	0.002865993295
22	0.002727793115
23	0.002563445227
24	0.002493896144
25	0.002475590706
26	0.002221369403
27	0.002058541264
28	0.002029236215
29	0.0018646792
30	0.001806722539
31	0.001780441999
32	0.001759443964
33	0.001699238164
34	0.001679939202
35	0.001636107138
36	0.001628188576
37	0.001530599424
38	0.001520248481
39	0.001488346372
40	0.001431712764
41	0.001383510573
42	0.001373645493
43	0.001330495647
44	0.001260709507
45	0.001260664718
46	0.001249187759
47	0.001248619386
48	0.001218753031
49	0.001213800567
50	0.001163921697
51	0.001114937748
52	0.001108883619
53	0.001093130112
54	0.001046480366
55	0.001021290847
56	0.0009869882039
57	0.0009869010108
58	0.0009811999117
59	0.0009795014347
60	0.0009760688032
61	0.0009562339102
62	0.0009275831495
63	0.0009158750943
64	0.0009157311916
65	0.0008942323923
66	0.0008622023038
67	0.000860121761
68	0.0008564003025
69	0.0008415368625
70	0.0008415400982
71	0.0008415168524
72	0.0008414950541
73	0.0008414683172
74	0.0008414489882
75	0.0008413869143
76	0.0008412977627
77	0.0008412064825
78	0.0008411394698
79	0.0008411406619
80	0.0008411175864
81	0.000841110519
82	0.000841110519
83	0.000841110519
84	0.000841110519
85	0.000841110519
86	0.000841110519
87	0.000841110519
88	0.000841110519
89	0.000841110519
90	0.000841110519
91	0.000841110519
92	0.000841110519
93	0.000841110519
94	0.000841110519
95	0.000841110519
96	0.000841110519
97	0.000841110519
98	0.000841110519
99	0.000841110519
100	0.000841110519
101	0.000841110519
102	0.000841110519
103	0.000841110519
104	0.000841110519
105	0.000841110519
106	0.000841110519
107	0.000841110519
108	0.000841110519
109	0.000841110519
110	0.000841110519
111	0.000841110519
112	0.000841110519
113	0.000841110519
114	0.000841110519
115	0.000841110519
116	0.000841110519
117	0.000841110519
118	0.000841110519
119	0.000841110519
120	0.000841110519
121	0.000841110519
122	0.000841110519
123	0.000841110519
124	0.000841110519
125	0.000841110519
126	0.000841110519
127	0.000841110519
128	0.000841110519
129	0.000841110519
130	0.000841110519
131	0.000841110519
132	0.000841110519
133	0.000841110519
134	0.000841110519
135	0.000841110519
136	0.000841110519
137	0.000841110519
138	0.000841110519
139	0.000841110519
140	0.000841110519
141	0.000841110519
142	0.000841110519
143	0.000841110519
144	0.000841110519
145	0.000841110519
146	0.000841110519
147	0.000841110519
148	0.000841110519
149	0.000841110519
150	0.000841110519
151	0.000841110519
152	0.000841110519
153	0.000841110519
154	0.000841110519
155	0.000841110519
156	0.000841110519
157	0.000841110519
158	0.000841110519
159	0.000841110519
160	0.000841110519
161	0.000841110519
162	0.000841110519
163	0.000841110519
164	0.000841110519
165	0.000841110519
166	0.000841110519
167	0.000841110519
168	0.000841110519
169	0.000841110519
170	0.000841110519
171	0.000841110519
172	0.000841110519
173	0.000841110519
174	0.000841110519
175	0.000841110519
176	0.000841110519
177	0.000841110519
178	0.000841110519
179	0.000841110519
180	0.000841110519
181	0.000841110519
182	0.000841110519
183	0.000841110519
184	0.000841110519
185	0.000841110519
186	0.000841110519
187	0.000841110519
188	0.000841110519
189	0.000841110519
190	0.000841110519
191	0.000841110519
192	0.000841110519
193	0.000841110519
194	0.000841110519
195	0.000841110519
196	0.000841110519
197	0.000841110519
198	0.000841110519
199	0.000841110519
